CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 112.406250 1729507183.6363
MEM 112.437500 1729507183.7414
MEM 112.468750 1729507183.8464
MEM 112.546875 1729507183.9514
MEM 112.578125 1729507184.0562
MEM 112.609375 1729507184.1612
MEM 112.640625 1729507184.2662
MEM 112.687500 1729507184.3712
MEM 112.687500 1729507184.4729
MEM 112.718750 1729507184.5780
MEM 112.765625 1729507184.6830
MEM 112.796875 1729507184.7880
MEM 112.796875 1729507184.8931
MEM 112.828125 1729507184.9981
MEM 112.875000 1729507185.1037
MEM 112.875000 1729507185.2087
MEM 112.906250 1729507185.3137
MEM 112.953125 1729507185.4187
MEM 112.953125 1729507185.5238
MEM 112.984375 1729507185.6288
MEM 113.000000 1729507185.7338
MEM 113.031250 1729507185.8388
MEM 113.062500 1729507185.9439
MEM 113.062500 1729507186.0489
MEM 113.109375 1729507186.1539
MEM 113.109375 1729507186.2589
MEM 113.140625 1729507186.3612
MEM 113.156250 1729507186.4663
MEM 113.187500 1729507186.5713
MEM 113.187500 1729507186.6764
MEM 113.234375 1729507186.7814
MEM 113.234375 1729507186.8864
MEM 113.265625 1729507186.9914
MEM 113.265625 1729507187.0965
MEM 113.312500 1729507187.2015
MEM 113.312500 1729507187.3065
MEM 113.343750 1729507187.4115
MEM 113.390625 1729507187.5166
MEM 113.390625 1729507187.6216
MEM 113.421875 1729507187.7266
MEM 113.437500 1729507187.8316
MEM 113.468750 1729507187.9367
MEM 113.468750 1729507188.0417
MEM 113.500000 1729507188.1467
MEM 113.515625 1729507188.2518
MEM 113.546875 1729507188.3568
MEM 113.546875 1729507188.4619
MEM 113.593750 1729507188.5669
MEM 113.593750 1729507188.6719
MEM 113.625000 1729507188.7770
MEM 113.640625 1729507188.8820
MEM 113.671875 1729507188.9870
MEM 113.671875 1729507189.0894
MEM 113.703125 1729507189.1945
MEM 113.718750 1729507189.2995
MEM 113.718750 1729507189.4046
MEM 113.750000 1729507189.5096
MEM 113.765625 1729507189.6146
MEM 113.796875 1729507189.7197
MEM 113.796875 1729507189.8247
MEM 113.812500 1729507189.9297
MEM 113.843750 1729507190.0348
MEM 113.843750 1729507190.1394
MEM 113.859375 1729507190.2444
MEM 113.890625 1729507190.3495
MEM 113.890625 1729507190.4546
MEM 113.937500 1729507190.5596
MEM 113.937500 1729507190.6647
MEM 113.937500 1729507190.7697
MEM 113.968750 1729507190.8747
MEM 113.984375 1729507190.9797
